,,,,,Games,,Passing,,,,,Rushing,,,,Receiving,,,,,Fumbles,,Scoring,,,Fantasy,,,,,,
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
112,Devontae Booker,DEN,RB,24,16,6,0,0,0,0,0,174,612,3.52,4,45,31,265,8.55,1,4,3,5,,,112,142.7,151.7,127.2,,28,
113,Quincy Enunwa,NYJ,WR,24,16,13,0,0,0,0,0,1,12,12,0,105,58,857,14.78,4,0,0,4,,,111,168.9,171.9,139.9,,43,
114,Darren Sproles*,PHI,RB,33,15,5,0,0,0,0,0,94,438,4.66,2,71,52,427,8.21,2,1,0,4,,,111,162.5,168.5,136.5,,29,
115,Stefon Diggs,MIN,WR,23,13,11,0,0,0,0,0,3,10,3.33,0,112,84,903,10.75,3,0,0,3,,,109,193.3,196.3,151.3,,45,
116,Marqise Lee,JAX,WR,25,16,6,1,1,20,1,0,6,35,5.83,0,105,63,851,13.51,3,1,1,4,,,109,178.4,182.4,146.9,,44,
117,Theo Riddick,DET,RB,25,10,8,0,0,0,0,0,92,357,3.88,1,67,53,371,7,5,0,0,6,,,109,161.8,167.8,135.3,,30,
118,Tim Hightower,NOR,RB,30,16,1,0,0,0,0,0,133,548,4.12,4,26,22,200,9.09,1,0,0,5,,,107,126.8,132.8,115.8,,32,
119,Jerick McKinnon,MIN,RB,24,15,7,0,1,0,0,0,159,539,3.39,2,53,43,255,5.93,2,0,0,4,1,,107,148.4,154.4,126.9,,31,
120,JJ Nelson,ARI,WR,24,15,6,0,0,0,0,0,4,83,20.75,1,74,34,568,16.71,6,1,1,7,,,107,139.1,143.1,122.1,,46,
121,Anquan Boldin,DET,WR,36,16,16,0,0,0,0,0,0,0,,0,95,67,584,8.72,8,0,0,8,,,106,173.4,176.4,139.9,,47,
122,Taylor Gabriel,ATL,WR,25,13,3,0,0,0,0,0,4,51,12.75,1,50,35,579,16.54,6,0,0,7,,,105,140,143,122.5,,50,
123,Ted Ginn,CAR,WR,31,16,8,0,0,0,0,0,14,98,7,0,95,54,752,13.93,4,3,2,4,,,105,159,164,132,,48,
124,Dontrelle Inman,SDG,WR,27,16,16,0,0,0,0,0,0,0,,0,97,58,810,13.97,4,0,0,4,,,105,163,166,134,,49,
125,James White,NWE,RB,24,16,4,0,0,0,0,0,39,166,4.26,0,86,60,551,9.18,5,0,0,5,,,104,161.7,167.7,131.7,,33,
126,Rashad Jennings,NYG,RB,31,13,12,0,0,0,0,0,181,593,3.28,3,42,35,201,5.74,1,1,0,4,,,103,138.4,144.4,120.9,,34,
127,Jordan Matthews,PHI,WR,24,14,13,0,0,0,0,0,0,0,,0,117,73,804,11.01,3,1,0,3,,,102,171.4,174.4,134.9,,52,
128,DeVante Parker,MIA,WR,23,15,8,0,0,0,0,0,0,0,,0,87,56,744,13.29,4,0,0,4,,,102,154.4,157.4,126.4,,51,
129,Matt Asiata,MIN,RB,29,16,6,0,0,0,0,0,121,402,3.32,6,38,32,263,8.22,0,1,1,6,,,101,132.5,139.5,116.5,,36,
130,Chris Thompson,WAS,RB,26,16,0,0,0,0,0,0,68,356,5.24,3,62,49,349,7.12,2,2,1,5,,,101,147.5,154.5,123,,35,
131,Brandon Marshall,NYJ,WR,32,15,15,0,0,0,0,0,0,0,,0,128,59,788,13.36,3,0,0,3,,,97,155.8,158.8,126.3,,53,
132,Ty Montgomery,GNB,RB,23,15,6,0,0,0,0,0,77,457,5.94,3,56,44,348,7.91,0,2,1,3,,,97,140.5,147.5,118.5,,37,
133,Alshon Jeffery,CHI,WR,26,12,12,0,0,0,0,0,0,0,,0,94,52,821,15.79,2,0,0,2,,,94,146.1,149.1,120.1,,54,
134,Derrick Henry,TEN,RB,22,15,2,0,0,0,0,0,110,490,4.45,5,15,13,137,10.54,0,0,0,5,,,93,105.7,111.7,99.2,,38,
135,Chris Hogan,NWE,WR,29,15,14,0,0,0,0,0,3,9,3,0,58,38,680,17.89,4,1,1,4,,,91,128.9,132.9,109.9,,55,
136,Duke Johnson,CLE,RB,23,16,1,0,1,0,0,0,73,358,4.9,1,74,53,514,9.7,0,2,1,1,,,91,144.2,151.2,117.7,,39,
137,Mohamed Sanu,ATL,WR,27,15,15,0,0,0,0,0,1,5,5,0,81,59,653,11.07,4,1,1,4,1,,90,148.8,152.8,119.3,,56,
138,Tavon Austin,LAR,WR,26,15,15,0,0,0,0,0,28,159,5.68,1,106,58,509,8.78,3,5,1,4,,,89,146.8,153.8,117.8,,57,
139,Randall Cobb,GNB,WR,26,13,10,0,0,0,0,0,10,33,3.3,0,84,60,610,10.17,4,1,0,4,,,88,148.3,151.3,118.3,,58,
140,T.J. Yeldon,JAX,RB,23,15,13,0,0,0,0,0,130,465,3.58,1,68,50,312,6.24,1,2,1,2,,,88,137.7,144.7,112.7,,40,
141,C.J. Anderson,DEN,RB,25,7,7,0,0,0,0,0,110,437,3.97,4,24,16,128,8,1,0,0,5,,,87,102.5,108.5,94.5,,41,
142,Jalen Richard,OAK,RB,23,16,0,0,0,0,0,0,83,491,5.92,1,39,29,194,6.69,2,0,0,3,,,87,115.5,121.5,101,,42,
143,Jack Doyle,IND,TE,26,16,14,0,0,0,0,0,0,0,,0,75,59,584,9.9,5,1,1,5,,,86,145.4,149.4,115.9,,13,
144,Travis Benjamin,SDG,WR,27,14,8,0,1,0,0,0,2,-3,-1.5,0,75,47,677,14.4,4,5,3,4,,,85,132.4,138.4,108.9,,59,
145,DeAngelo Williams,PIT,RB,33,9,4,0,0,0,0,0,98,343,3.5,4,27,18,118,6.56,2,0,0,6,,,84,100.1,106.1,91.1,,43,
146,Giovani Bernard,CIN,RB,25,10,2,0,0,0,0,0,91,337,3.7,2,51,39,336,8.62,1,1,1,3,,,83,122.3,129.3,102.8,,44,
147,Eric Ebron,DET,TE,23,13,13,0,0,0,0,0,1,1,1,1,85,61,711,11.66,1,0,0,2,,,83,144.2,147.2,113.7,,15,
148,Jeremy Kerley,SFO,WR,28,16,13,0,0,0,0,0,0,0,,0,115,64,667,10.42,3,4,1,3,,,83,146.7,150.7,114.7,,61,
149,Tyler Lockett,SEA,WR,24,15,9,0,0,0,0,0,6,114,19,1,66,41,597,14.56,1,0,0,2,,,83,124.1,130.1,103.6,,60,
150,Dennis Pitta,BAL,TE,31,16,12,0,0,0,0,0,0,0,,0,121,86,729,8.48,2,1,1,2,,,83,168.9,172.9,125.9,,16,
