Rank,Team,Avg
1,JAX,12.7
2,BAL,11.6
3,PHI,10.6
3,LAR,10.6
4,LAC,10
5,DET,9.8
6,NOR,9.4
7,SEA,8.9
8,CHI,8.6
8,PIT,8.6
9,CAR,8.6
10,KAN,7.8
11,NEW,7.7
12,MIN,7.5
13,DAL,7.1
14,WAS,7
15,TEN,6.9
16,ARI,6.8
16,DEN,6.8
17,BUF,6.5
18,CIN,6.3
19,ATL,6.2
20,TAM,6.1
21,GNB,5.9
22,IND,5.8
23,MIA,5.6
24,NYG,5.5
25,HOU,5.1
26,SFO,4.9
27,CLE,4.7
28,NYJ,4.5
29,OAK,4.3
